Altium Designer Pick and Place Locations
D:\四轴飞机\电路\Smart-Plane\Smart-Plane\Project Outputs for Smart-Plane\Pick Place\Pick Place for Quadcopter_FC.csv

========================================================================================================================
File Design Information:

Date:       15/09/26
Time:       21:04
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

﻿"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"P6","Header 2","TopLayer","HDR1X2","47.5640","15.4584","270","Header, 2-Pin"
"P7","Header 2","TopLayer","HDR1X2","33.7287","21.5875","180","Header, 2-Pin"
"P8","Header 2","TopLayer","HDR1X2","47.5894","6.6802","270","Header, 2-Pin"
"Q2","CJ2310","TopLayer","SOT23-3","44.2076","13.6347","270","CJ2310"
"Q3","CJ2310","TopLayer","SOT23-3","31.6001","18.4190","0","CJ2310"
"R1","10K ohm","TopLayer","0603R","13.5255","11.2116","180","10K ohm,1%"
"R3","10K ohm","TopLayer","0603R","2.5303","6.6567","90","10K ohm,1%"
"R9","10K ohm","BottomLayer","0603R","32.8828","15.9182","270","10K ohm,1%"
"R11","4.7K ohm","TopLayer","0603R","17.2974","11.6230","180","4.7K ohm,1%"
"R12","0ohm","TopLayer","0603R","17.2771","10.1575","0","120 ohm_5%"
"R14","4.7K ohm","TopLayer","0603R","17.2891","7.1114","180","4.7K ohm,1%"
"R15","0ohm","TopLayer","0603R","17.2872","8.6766","0","120 ohm_5%"
"R13","68K ohm","TopLayer","0603R","34.3459","10.7645","180","200K ohm,1%"
"R16","1Kohm","BottomLayer","0603R","2.2631","14.1148","180","510 ohm,1%"
"R17","3Kohm","BottomLayer","0603R","5.3543","1.3614","270","510 ohm,1%"
"R18","1Kohm","BottomLayer","0603R","2.9439","4.5542","180","510 ohm,1%"
"R20","10K ohm","TopLayer","0603R","24.7802","6.4922","90","10K ohm,1%"
"R19","100K ohm","TopLayer","0603R","34.3992","9.0754","0","68K ohm,1%"
"R23","30 ohm","TopLayer","0603R","34.3560","5.4026","0","100 ohm_5%"
"R24","30 ohm","TopLayer","0603R","41.5595","13.6830","90","100 ohm_5%"
"R25","30 ohm","TopLayer","0603R","31.6484","14.2773","180","100 ohm_5%"
"R26","30 ohm","TopLayer","0603R","41.6255","5.0470","90","100 ohm_5%"
"R27","10K ohm","TopLayer","0603R","37.8130","5.3518","180","10K ohm,1%"
"R28","10K ohm","TopLayer","0603R","41.5849","17.1475","270","10K ohm,1%"
"R29","10K ohm","TopLayer","0603R","31.6662","15.8166","180","10K ohm,1%"
"R30","10K ohm","TopLayer","0603R","41.3588","7.7241","180","10K ohm,1%"
"U4","GC2400-TC017 2.4G Module","BottomLayer","2.4G-Serial_port","15.6006","3.7371","180","2.4G_转串口"
"U5","MPU6050","TopLayer","QFN24","22.3433","10.5277","90","MPU6050"
"Y1","XTAL_8MHz_5032","TopLayer","5032","9.1238","17.7775","0","XTAL_8MHz"
